,StoreID,CreationDate,StoreName,StoreAddress,ZCTA,ZIPcode,BoroName,latitude,longitude,Xcoord,Ycoord,Census.2010.PUMA,CD.Code,Census.CD.Name,DiscountCard,OrangesSold,OrangesPrefSold,OrangesBrand,OrangesPrefPrice,OrangesPrefSale,OrangesAlt,OrangesAltBrand,OrangesAltUnit,OrangesAltAmount,OrangesAltPrice,OrangesAltSale,OrangesComments,OrangesOrganic,BananasPrefSold,BananasPrefBrand,BananasPrefPrice,BananasOrganic,BananasPrefSale,StrawberriesPrefSold,StrawberriesPrefBrand,StrawberriesPrefPrice,StrawberriesPrefSale,StrawberriesOrganic,TomatoesSold,TomatoesPrefSold,TomatoesPrefBrand,TomatoesPrefPrice,TomatoesPrefSale,TomatoesAlt,TomatoesAltBrand,TomatoesAltUnit,TomatoesAltAmount,TomatoesAltPrice,TomatoesAltSale,TomatoesComments,TomatoesOrganic,LettuceSold,LettucePrefSold,LettucePrefBrand,LettucePrefPrice,LettucePrefSale,LettuceAlt,LettuceAltBrand,LettuceAltAmount,LettuceAltPrice,LettuceAltSale,LettuceComment,LettuceOrganic,PotatoesSold,PotatoesPrefSold,PotatoesPrefBrand,PotatoesPrefPrice,PotatoesPrefSale,PotatoesAlt,PotatoesAltBrand,PotatoesAltUnit,PotatoesAltAmount,PotatoesAltPrice,PotatoesAltSale,PotatoesComments,PotatoesOrganic,BeefSold,BeefPrefSold,BeefPrefBrand,BeefPrefPrice,BeefPrefSale,BeefAltLean,BeefAlt,BeefAltBrand,BeefAltWeight,BeefAltPrice,BeefAltSale,BeefComment,BeefOrganic,MilkSold,MilkPrefSold,MilkPrefBrand,MilkPrefPrice,MilkPrefSale,MilkAltBrand,MilkAltSize,MilkAltFat,MilkAltPrice,MilkAltSale,MilkComment,MilkOrganic,EggsPrefSold,EggsPrefBrand,EggsPrefPrice,EggsOrganic,EggsPrefSale,BreadSold,BreadPrefSold,BreadPrefBrand,BreadPrefPrice,BreadPrefSale,BreadAlt,BreadAltBrand,BreadAltPrice,BreadAltSale,BreadComment
21,FM0000193816,3/15/2019 17:15,Fine Fare Supermarkets,175 CLINTON STREET,10002,10002,MANHATTAN,40.715603,-73.986938,987871,199990,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",unknown,yes,no,,,,Navel ,Sunkist,piece,3,0.99,,,no,yes,Dole,0.59,no,yes,yes,Spivey Farms,2.99,yes,no,yes,yes,Del Campo,1.99,,,,,,,,,no,yes,yes,,1.99,,,,,,,,no,yes,yes,,0.99,yes,,,,,,,,no,yes_,yes,Fine Fare label (store brand),8.99,,,,,,,,,no,yes,yes,Derle Hygrade,2.49,,,,,,,,no,yes,Hillandale Farms,1.99,no,,yes,yes,Super Bread,2.49,,,,,,
22,FM0000206284,5/16/2019 19:34,Morton Williams ,917 9 AVENUE,10019,10019,MANHATTAN,40.768971,-73.98496,988416,219434,3603807,104,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",unknown,yes,no,,,,Sunkist ,Navel,piece,2,3,,,no,yes,Chiquita ,0.89,no,,yes,Driscoll’s ,3.99,,no,yes,yes,Backyard Farms ,2.99,,,,,,,,,no,yes,yes,,2.99,,,,,,,,no,yes,yes,,1.69,,,,,,,,,no,yes_,yes,Sterling silver,6.99,,,,,,,,,no,yes,yes,Farmland,4.29,,,,,,,,no,yes,Quaker state,3.79,no,,yes,yes,Arnold,3.69,,,,,,
23,FM0000215757,5/7/2019 18:53,Whole Foods Market,10 COLUMBUS CIRCLE,10019,10019,MANHATTAN,40.767815,-73.982267,989162,219013,3603807,104,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",unknown,yes,yes,Suntreat,0.99,,,,,,,,,no,yes,Whole Foods,0.49,no,,yes,Driscoll’s ,2.99,,no,yes,yes,Backyard Farms ,1.99,,,,,,,,,no,yes,yes,,1.99,,,,,,,,yes,yes,yes,,0.79,,,,,,,,,no,no,,,,,,,,,,,,,yes,yes,365 everyday value ,2.39,,,,,,,,no,no,,,,,yes,yes,365 everyday value ,2.99,,,,,,
24,FM0000223205,4/22/2019 20:05,Associates Supermarket ,409 EAST 14 STREET,10009,10009,MANHATTAN,40.731088,-73.981866,989276,205632,3603808,106,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",unknown,yes,no,,,,Navel ,Sun pacific ,piece,2,3,yes,,no,yes,Dole,0.49,no,yes,yes,Driscoll’s,3.99,yes,no,yes,yes,Maas,2.99,,,,,,,,,no,yes,yes,,2.29,,,,,,,,no,yes,yes,,0.99,,,,,,,,,no,yes_,yes,Associated label (store brand),5.99,,,,,,,,,no,yes,yes,Derek Hygrade,2.59,,,,,,,,no,yes,Croton Egg Farm,3.39,no,,yes,yes,Nature’s Own,2.5,,,,,,
25,FM0000231819,5/17/2019 15:17,Fine Fare Supermarkets,545 GRAND STREET,10002,10002,MANHATTAN,40.714213,-73.980784,989577,199484,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",unknown,yes,no,,,,Navel ,,piece,3,1.5,yes,,no,yes,Bonita,0.89,no,yes,yes,Giant ,2.99,,no,yes,no,,,,Plum,,pound,1,1.49,yes,,no,yes,yes,,1.79,yes,,,,,,,no,yes,yes,,0.79,yes,,,,,,,,no,yes_,yes,Fine fare label (store brand),8.99,,,,,,,,,no,yes,yes,Derle Hygrade,2.39,,,,,,,,no,yes,Hillandale Farms,1.59,no,,yes,yes,Super bread,2.49,,,,,,
26,FM0000241601,3/15/2019 17:44,Key Food ,43 COLUMBIA STREET,10002,10002,MANHATTAN,40.716486,-73.980574,989635,200312,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",unknown,yes,no,,,,Navel,Sun Pacific ,piece,3,1,yes,,no,no,,,,,yes,GPC,2.99,yes,no,yes,yes,Double Diamond Farms,1.99,yes,,,,,,,,no,yes,yes,,2,yes,,,,,,,no,yes,yes,,0.99,yes,,,,,,,,no,yes_,yes,Creekstone Farms,7.99,,,,,,,,,no,yes,yes,Cream O Land,2.59,,,,,,,,no,yes,Key Food ,3.89,no,,yes,yes,Arnold,2.5,,,,,,
27,FM0000251372,3/15/2019 18:10,Shop Fair Supermarket ,42 AVENUE C,10009,10009,MANHATTAN,40.721923,-73.980414,989679,202293,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",unknown,yes,no,,,,Navel,Sunkist ,piece,8,1.99,,,no,yes,Chiquita,0.79,no,,yes,Driscoll’s ,5.99,,no,yes,yes,Nature Fresh,3.99,,,,,,,,,no,yes,yes,,1.99,,,,,,,,no,yes,yes,GPOD,0.4,,,,,,,,,no,yes_,yes,Meadowland Farms,6.39,,,,,,,,,no,yes,yes,Cream O Land,2.49,yes,,,,,,,no,yes,Jack’s Farms,1,no,yes,yes,yes,Arnold,2.5,,,,,,
28,FM0000257460,4/24/2019 19:03,Key Food,319 KINGS HIGHWAY,11223,11223,BROOKLYN,40.604998,-73.978569,990201,159694,3604017,311,"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",unknown,yes,no,,,,Navel ,,piece,3,2,,,no,yes,Ms. Belinda,0.69,no,yes,yes,Central West,2.5,yes,no,yes,yes,Policella,2.49,,,,,,,,,no,yes,yes,,1.99,,,,,,,,no,yes,yes,,0.99,,,,,,,,,no,yes_,yes,Key Food label (store brand),6.59,,,,,,,,,no,yes,yes,Cream O Land,2.19,,,,,,,,no,yes,Sunshine Farms,1.59,no,,yes,yes,Urban meadow fresh ,1.79,,,,,,
29,FM0000270479,3/15/2019 18:28,Associated Supermarket,123 AVENUE C,10009,10009,MANHATTAN,40.72456,-73.978523,990203,203254,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",unknown,yes,no,,,,Navel ,,piece,3,2.49,,,no,no,,,,,no,,,,,yes,yes,Bell Flower,2.99,,,,,,,,,no,no,,,,,,,,,,,,yes,yes,,0.99,,,,,,,,,no,yes_,yes,Associated Supermarket label (store brand),5.99,,,,,,,,,no,yes,yes,Derle Hygrade,2.49,,,,,,,,no,yes,Croton Egg Farm,2.49,no,,yes,yes,Arnold,2.5,,,,,,
30,FM0000280125,3/15/2019 18:47,C-Town,188 AVENUE C,10009,10009,MANHATTAN,40.726797,-73.976837,990670,204069,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",unknown,yes,no,,,,Navel,Sunkist,piece,5,1.99,yes,,no,yes,Dole,0.99,no,yes,yes,Red Blossom ,4.99,yes,no,yes,yes,C-Town label (store brand),1.49,yes,,,,,,,,no,yes,no,,,,Romaine ,,1 head,2.99,,"You can buy one head of romaine lettuce but it is priced per pound (2.99/pound), not individually. There is no scale to measure what one head would weigh/cost. ",no,yes,yes,,1.29,,,,,,,,,no,yes_,yes,C-Town label (store brand),4.89,,,,,,,,,no,yes,yes,Derle Hygrade,2.49,,,,,,,,no,yes,Quaker State,2.09,no,,yes,yes,Krasdale,1.99,,,,,,
