,zip_code_tabulation_area,percent_owner,qrt_percent_owner,percent_rentburdened,qrt_percent_rentburdened,HH_value,qrt_HH_value,percent_snap,qrt_percent_snap,percent_poverty,qrt_percent_poverty,percent_employed,qrt_percent_employed,percent_lths,qrt_percent_lths,percent_noenglish,qrt_percent_noenglish,percent_black,qrt_percent_black,percent_latino,qrt_percent_latino,percent_aapi,qrt_percent_aapi,percent_other,qrt_percent_other,percent_noinsurance,qrt_percent_noinsurance,GINI_index,qrt_GINI_index
22,11201,0.33143584,Q3,0.347201585,Q1,943100,Q4,0.081873186,Q2,0.123514765,Q2,0.679504943,Q4,0.050607373,Q1,0.033972761,Q1,0.157641453,Q3,0.114613904,Q2,0.154454227,Q3,0.049496671,Q2,0.038420337,Q1,0.5189,Q3
23,11231,0.297259063,Q2,0.38417334,Q1,1384100,Q4,0.172308085,Q3,0.147100087,Q3,0.67741271,Q4,0.114039765,Q2,0.057153705,Q2,0.17151608,Q3,0.166288219,Q2,0.086497333,Q2,0.066404394,Q2,0.044811196,Q2,0.5629,Q4
24,11417,0.564262023,Q4,0.524898668,Q3,533500,Q2,0.14452686,Q3,0.133668117,Q3,0.588703608,Q2,0.207650019,Q3,0.096479569,Q3,0.099996807,Q2,0.375115737,Q4,0.321860732,Q4,0.235720443,Q4,0.068075867,Q3,0.4139,Q1
25,11109,0.065897493,Q1,0.32835249,Q1,714800,Q3,0,,0.028093645,Q1,0.822119992,Q4,0.007416316,Q1,0.06084853,Q2,0.009197324,Q1,0.064214047,Q1,0.331772575,Q4,0.005685619,Q1,0.026923077,Q1,0.3517,
31,11203,0.365269461,Q3,0.552296525,Q4,468500,Q2,0.163778469,Q3,0.145525898,Q3,0.572373622,Q2,0.122056944,Q2,0.027072216,Q1,0.900348295,Q4,0.064204508,Q1,0.024288625,Q1,0.034895183,Q1,0.068410651,Q3,0.4498,Q2
32,11208,0.235772572,Q2,0.531490897,Q3,489600,Q2,0.289920759,Q4,0.256812658,Q4,0.542516383,Q1,0.174851847,Q3,0.074333528,Q2,0.549426036,Q4,0.40576234,Q4,0.066990416,Q2,0.115217198,Q3,0.054342346,Q2,0.4984,Q3
33,11210,0.40603336,Q3,0.479842996,Q2,651000,Q3,0.14881469,Q3,0.117607694,Q2,0.601258113,Q3,0.100431914,Q2,0.048950123,Q2,0.599365963,Q4,0.066341916,Q1,0.049733241,Q2,0.041073224,Q1,0.062353979,Q2,0.4739,Q2
34,11212,0.128998471,Q1,0.618975959,Q4,442800,Q1,0.441072888,Q4,0.344095866,Q4,0.464682429,Q1,0.243825698,Q4,0.050914832,Q2,0.824495734,Q4,0.192024337,Q3,0.01546194,Q1,0.080947027,Q2,0.078669391,Q3,0.5533,Q4
35,11221,0.198744415,Q2,0.523315215,Q3,924600,Q4,0.263802902,Q4,0.213424277,Q4,0.622610888,Q3,0.190560718,Q3,0.082065397,Q3,0.490722738,Q4,0.33911812,Q3,0.044610067,Q1,0.188209597,Q4,0.101464284,Q4,0.5069,Q3
36,11239,0.023915223,Q1,0.50933007,Q3,499300,Q2,0.380014914,Q4,0.248350094,Q4,0.440323795,Q1,0.191681736,Q3,0.142364815,Q3,0.598496712,Q4,0.183526464,Q3,0.039383025,Q1,0.048856874,Q2,0.042897549,Q2,0.4571,Q2
37,11361,0.512915462,Q4,0.438874438,Q2,717600,Q3,0.064997981,Q2,0.08070241,Q1,0.607178421,Q3,0.142125604,Q2,0.138313808,Q3,0.049115841,Q2,0.124995405,Q2,0.42075659,Q4,0.047792361,Q2,0.059917972,Q2,0.4167,Q1
38,11364,0.684450684,Q4,0.48655914,Q2,568800,Q2,0.062435041,Q1,0.07391509,Q1,0.599050453,Q2,0.111820612,Q2,0.166308452,Q4,0.047549358,Q2,0.115145658,Q2,0.515808367,Q4,0.032168991,Q1,0.071428571,Q3,0.4131,Q1
39,11413,0.673430322,Q4,0.391776128,Q1,462200,Q1,0.108237782,Q2,0.067674097,Q1,0.609760421,Q3,0.106969593,Q2,0.01735735,Q1,0.927178872,Q4,0.057070828,Q1,0.015846339,Q1,0.033277311,Q1,0.055423958,Q2,0.39,Q1
40,11429,0.681414774,Q4,0.496018735,Q3,453900,Q1,0.138526373,Q2,0.080330882,Q1,0.603295036,Q3,0.15022824,Q3,0.057096935,Q2,0.749799665,Q4,0.138631893,Q2,0.058279304,Q2,0.161251548,Q3,0.06648159,Q3,0.3926,Q1
41,11434,0.465486339,Q3,0.454693435,Q2,426600,Q1,0.134386805,Q2,0.094551996,Q2,0.589824342,Q2,0.130997732,Q2,0.015851389,Q1,0.873662603,Q4,0.080974745,Q1,0.039608734,Q1,0.058783279,Q2,0.047939946,Q2,0.4157,Q1
42,11436,0.641531915,Q4,0.499085923,Q3,434300,Q1,0.17689464,Q3,0.112446217,Q2,0.618125081,Q3,0.177702448,Q3,0.035863817,Q2,0.660771117,Q4,0.146867011,Q2,0.110293734,Q3,0.198883498,Q4,0.080033391,Q3,0.4155,Q1
43,11692,0.328223968,Q3,0.500530223,Q3,411400,Q1,0.32794963,Q4,0.255964075,Q4,0.51454112,Q1,0.214345462,Q3,0.058022643,Q2,0.610809097,Q4,0.23285313,Q3,0.058213283,Q2,0.108136269,Q3,0.04878391,Q2,0.4887,Q3
44,11102,0.111937191,Q1,0.459369068,Q2,690600,Q3,0.131093086,Q2,0.160834889,Q3,0.656011414,Q4,0.126168224,Q2,0.085110952,Q3,0.106161966,Q2,0.272565301,Q3,0.177328806,Q3,0.117020204,Q3,0.077580651,Q3,0.4657,Q2
45,11104,0.188674794,Q2,0.487818202,Q2,498000,Q2,0.064490997,Q1,0.101373473,Q2,0.664657156,Q4,0.124906619,Q2,0.134393369,Q3,0.032531656,Q1,0.286533408,Q3,0.256151947,Q4,0.077207932,Q2,0.092936211,Q4,0.4299,Q1
46,11207,0.237736746,Q2,0.579877331,Q4,510400,Q2,0.33906422,Q4,0.284973806,Q4,0.531918707,Q1,0.204729035,Q3,0.062984154,Q2,0.669158899,Q4,0.316315888,Q3,0.022023868,Q1,0.159557766,Q3,0.06668582,Q3,0.5213,Q3
47,11213,0.14627813,Q1,0.540050354,Q3,837500,Q4,0.305089398,Q4,0.226857177,Q4,0.578875658,Q2,0.189729411,Q3,0.038637706,Q2,0.673004653,Q4,0.118617275,Q2,0.031361847,Q1,0.051494273,Q2,0.07943526,Q3,0.5094,Q3
48,11216,0.197693516,Q2,0.447088031,Q2,1129800,Q4,0.174580837,Q3,0.16977492,Q3,0.668963294,Q4,0.121422871,Q2,0.021123274,Q1,0.568009552,Q4,0.112155193,Q1,0.068459488,Q2,0.051379227,Q2,0.067877148,Q3,0.5102,Q3
