,StoreID,CreationDate,StoreName,StoreAddress,ZCTA,ZIPcode,BoroName,latitude,longitude,Xcoord,Ycoord,Census.2010.PUMA,CD.Code,Census.CD.Name,beef_type,beef_price_1lb,beef_price_1lb_imp,bread_type,bread_price_loaf,bread_price_loaf_imp,tomato_type,tomato_price,tomato_price_imp,potato_type,potato_price,potato_price_imp,orange_type,orange_price,orange_price_imp,lettuce_type,lettuce_price,lettuce_price_imp,milk_type,milk_price,milk_price_imp,strawberries_type,strawberries_price,strawberries_price_imp,banana_type,banana_price,banana_price_imp,eggs_type,eggs_price,eggs_price_imp,missingvalues,SFB,SFB_imp
21,FM0000193816,3/15/2019 17:15,Fine Fare Supermarkets,175 CLINTON STREET,10002,10002,MANHATTAN,40.715603,-73.986938,987871,199990,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",P,8.99,8.99,P,2.49,2.49,P,1.99,1.99,P,0.99,0.99,A,0.33,0.33,P,1.99,1.99,P,2.49,2.49,P,2.99,2.99,P,0.59,0.59,P,1.99,1.99,0,24.84,24.84
22,FM0000206284,5/16/2019 19:34,Morton Williams ,917 9 AVENUE,10019,10019,MANHATTAN,40.768971,-73.98496,988416,219434,3603807,104,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",P,6.99,6.99,P,3.69,3.69,P,2.99,2.99,P,1.69,1.69,A,1.5,1.5,P,2.99,2.99,P,4.29,4.29,P,3.99,3.99,P,0.89,0.89,P,3.79,3.79,0,32.81,32.81
23,FM0000215757,5/7/2019 18:53,Whole Foods Market,10 COLUMBUS CIRCLE,10019,10019,MANHATTAN,40.767815,-73.982267,989162,219013,3603807,104,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",M,,6.652115657,P,2.99,2.99,P,1.99,1.99,P,0.79,0.79,P,0.309375,0.309375,P,1.99,1.99,P,2.39,2.39,P,2.99,2.99,P,0.49,0.49,M,,1.963804164,2,,22.55529482
24,FM0000223205,4/22/2019 20:05,Associates Supermarket ,409 EAST 14 STREET,10009,10009,MANHATTAN,40.731088,-73.981866,989276,205632,3603808,106,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",P,5.99,5.99,P,2.5,2.5,P,2.99,2.99,P,0.99,0.99,A,1.5,1.5,P,2.29,2.29,P,2.59,2.59,P,3.99,3.99,P,0.49,0.49,P,3.39,3.39,0,26.72,26.72
25,FM0000231819,5/17/2019 15:17,Fine Fare Supermarkets,545 GRAND STREET,10002,10002,MANHATTAN,40.714213,-73.980784,989577,199484,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",P,8.99,8.99,P,2.49,2.49,A,1.49,1.49,P,0.79,0.79,A,0.5,0.5,P,1.79,1.79,P,2.39,2.39,P,2.99,2.99,P,0.89,0.89,P,1.59,1.59,0,23.91,23.91
26,FM0000241601,3/15/2019 17:44,Key Food ,43 COLUMBIA STREET,10002,10002,MANHATTAN,40.716486,-73.980574,989635,200312,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",P,7.99,7.99,P,2.5,2.5,P,1.99,1.99,P,0.99,0.99,A,0.333333333,0.333333333,P,2,2,P,2.59,2.59,P,2.99,2.99,M,,0.311004119,P,3.89,3.89,1,,25.58433745
27,FM0000251372,3/15/2019 18:10,Shop Fair Supermarket ,42 AVENUE C,10009,10009,MANHATTAN,40.721923,-73.980414,989679,202293,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",P,6.39,6.39,P,2.5,2.5,P,3.99,3.99,P,0.4,0.4,A,0.24875,0.24875,P,1.99,1.99,P,2.49,2.49,P,5.99,5.99,P,0.79,0.79,P,1,1,0,25.78875,25.78875
28,FM0000257460,4/24/2019 19:03,Key Food,319 KINGS HIGHWAY,11223,11223,BROOKLYN,40.604998,-73.978569,990201,159694,3604017,311,"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",P,6.59,6.59,P,1.79,1.79,P,2.49,2.49,P,0.99,0.99,A,0.666666667,0.666666667,P,1.99,1.99,P,2.19,2.19,P,2.5,2.5,P,0.69,0.69,P,1.59,1.59,0,21.48666667,21.48666667
29,FM0000270479,3/15/2019 18:28,Associated Supermarket,123 AVENUE C,10009,10009,MANHATTAN,40.72456,-73.978523,990203,203254,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",P,5.99,5.99,P,2.5,2.5,P,2.99,2.99,P,0.99,0.99,A,0.83,0.83,M,,1.621132872,P,2.49,2.49,M,,3.770451653,M,,0.973990164,P,2.49,2.49,3,,24.64557469
30,FM0000280125,3/15/2019 18:47,C-Town,188 AVENUE C,10009,10009,MANHATTAN,40.726797,-73.976837,990670,204069,3603809,103,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",P,4.89,4.89,P,1.99,1.99,P,1.49,1.49,P,1.29,1.29,A,0.398,0.398,A,2.99,2.99,P,2.49,2.49,P,4.99,4.99,P,0.99,0.99,P,2.09,2.09,0,23.608,23.608
31,FM0000287289,4/24/2019 19:03,Key Food,130 7 AVENUE,11215,11215,BROOKLYN,40.673074,-73.976441,990785,184496,3604005,306,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",P,5.99,5.99,P,1.79,1.79,P,1.99,1.99,P,0.99,0.99,A,0.666666667,0.666666667,P,1.99,1.99,P,2.49,2.49,P,2.5,2.5,P,0.79,0.79,P,1.69,1.69,0,20.88666667,20.88666667
32,FM0000301807,4/22/2019 20:05,Key Food,530 AMSTERDAM AVENUE,10024,10024,MANHATTAN,40.787409,-73.975227,991110,226152,3603806,107,"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",P,6.49,6.49,P,2.49,2.49,P,1.99,1.99,P,1.99,1.99,A,1,1,P,1.99,1.99,P,2.59,2.59,M,,3.156268884,P,0.49,0.49,P,1.79,1.79,1,,23.97626888
33,FM0000311196,5/1/2019 19:18,Gristedes,504 COLUMBUS AVENUE,10024,10024,MANHATTAN,40.785369,-73.973004,991726,225409,3603806,107,"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",P,7.99,7.99,P,3.49,3.49,P,3.99,3.99,P,1.49,1.49,A,1.666666667,1.666666667,P,2.99,2.99,P,2.69,2.69,P,5.99,5.99,P,0.89,0.89,P,2.89,2.89,0,34.07666667,34.07666667
34,FM0000314312,4/16/2019 19:20,Key Food,505 NEPTUNE AVENUE,11224,11224,BROOKLYN,40.579835,-73.972176,991979,150527,3604018,313,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",P,4.99,4.99,P,1.99,1.99,P,2.49,2.49,P,0.99,0.99,A,1,1,P,2.29,2.29,P,1.89,1.89,P,2.99,2.99,P,0.99,0.99,P,2.59,2.59,0,22.21,22.21
35,FM0000325556,3/4/2019 19:06,Union market,342 FLATBUSH AVENUE,11217,11238,BROOKLYN,40.676199,-73.971757,992084,185635,3604005,306,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",M,,1.89751713,P,4.99,4.99,P,3.49,3.49,P,0.99,0.99,P,0.403125,0.403125,P,3.49,3.49,P,3.99,3.99,P,3.99,3.99,P,0.79,0.79,P,4.99,4.99,1,,29.02064213
36,FM0000336125,5/28/2019 16:47,City acres market ,11 BROADWAY,11211,11249,BROOKLYN,40.710815,-73.968392,993013,198247,3604001,301,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",P,7.29,7.29,P,3.69,3.69,P,2.99,2.99,P,0.99,0.99,A,1,1,P,2,2,P,2.29,2.29,P,5.99,5.99,P,0.79,0.79,M,,4.166886664,1,,31.19688666
37,FM0000348493,5/7/2019 19:50,Whole Foods Market,226 EAST 57 STREET,10022,10022,MANHATTAN,40.759899,-73.966715,993471,216130,3603808,106,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",A,,6.255095322,P,2.99,2.99,P,1.99,1.99,P,0.79,0.79,P,0.309375,0.309375,A,,1.396697099,P,2.39,2.39,P,2.99,2.99,P,0.49,0.49,M,,2.575079397,3,,22.17624682
38,FM0000352931,6/6/2019 17:48,Paperific,1482 CONEY ISLAND AVENUE,11230,11230,BROOKLYN,40.62134,-73.964533,994096,165649,3604014,312,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",A,7.992,7.992,P,3.69,3.69,P,1.19,1.19,P,0.79,0.79,A,0.39,0.39,M,,1.966657264,P,2.79,2.79,P,2.99,2.99,P,0.69,0.69,M,,2.364881874,2,,24.85353914
39,FM0000362389,6/6/2019 17:36,Pomegranate ,1507 CONEY ISLAND AVENUE,11230,11230,BROOKLYN,40.620878,-73.964425,994126,165481,3604015,314,"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",A,6.99270073,6.99270073,P,3.69,3.69,P,3.99,3.99,P,1.29,1.29,A,0.39,0.39,P,1.99,1.99,P,2.89,2.89,P,7.49,7.49,P,0.99,0.99,M,,0.468761557,1,,30.18146229
40,FM0000371705,6/6/2019 17:12,Glatt Market ,1205 AVENUE M,11230,11230,BROOKLYN,40.617699,-73.962647,994620,164323,3604015,314,"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",A,6.991071429,6.991071429,P,3.69,3.69,P,0.99,0.99,P,0.79,0.79,A,0.4,0.4,A,1.663333333,1.663333333,P,2.59,2.59,P,3.99,3.99,P,0.79,0.79,M,,3.258371475,1,,25.15277624
41,FM0000382170,3/18/2019 18:43,Associated Supermarket,650 FLATBUSH AVENUE,11225,11225,BROOKLYN,40.657514,-73.960315,995261,178829,3604011,309,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",A,2.991150442,2.991150442,P,2.5,2.5,P,2.49,2.49,P,1.29,1.29,A,0.333333333,0.333333333,A,0.5,0.5,P,2.59,2.59,P,2.99,2.99,P,0.5,0.5,P,2.79,2.79,0,18.97448378,18.97448378
42,FM0000393065,5/28/2019 16:12,Lefkowitz Supermarket,68 LEE AVENUE,11211,11211,BROOKLYN,40.705633,-73.959871,995376,196360,3604001,301,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",M,,5.513038442,P,,2.896425639,P,1.79,1.79,P,0.89,0.89,A,0.35,0.35,A,,1.927037584,P,3.15,3.15,M,,3.571088276,M,,0.995055455,P,1.5,1.5,5,,22.5826454
43,FM0000403332,3/28/2019 13:19,Whole Foods Market,238 BEDFORD AVENUE,11211,11249,BROOKLYN,40.71609,-73.959612,995446,200170,3604001,301,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",P,10.99,10.99,P,2.99,2.99,P,1.99,1.99,P,0.79,0.79,P,0.559375,0.559375,P,2.49,2.49,P,2.39,2.39,P,3.49,3.49,P,0.49,0.49,P,2.99,2.99,0,29.169375,29.169375
44,FM0000409842,6/6/2019 16:55,Mountain Fruit ,1523 AVENUE M,11230,11230,BROOKLYN,40.61808,-73.959427,995514,164462,3604015,314,"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",A,6.99,6.99,P,3.69,3.69,P,1.19,1.19,P,0.89,0.89,A,0.4,0.4,A,,2.461468506,P,2.79,2.79,P,4.99,4.99,P,0.79,0.79,M,,1.40066237,2,,25.59213088
